44380;QUASSAM ABDENBI;;061 37 31 20;ELEAZ TRAVAUX D;BLOC 5 GROUPE AZZOUHOUR N° 91 TAKADOUM RABAT;R1;PP;14/11/1990;;RABAT;1;R;;6683230;;;1;
57751;MODEL OMNIUM DE CONSTRUCTION;037 63 23 90;037 63 23 90;MODELOMC;QUARTIER OULJA CU EL YOUSSOUFIA KM 5.5 RS 203 VERS;R1;SARL;13/11/2003;150000;;1;O;;663479;;;1;
36553;BAGMI;;061 79 57 09;;23 BIS LOTISSEMENT TOUR HASSAN TEMARA;R3;SARL;24/05/2001;100000;;1;R;;6279089;;;1;
57549;SPECTRAV;037 71 08 23;061 37 23 38;;RESIDENCE JOULLAMAR APP D6 HAY RIAD RABAT;R1;SARL;17/09/2003;100000;RABAT;1;R;;6619110;2;;;
57215;SOTRADIVAL;037 60 16 46;037 60 16 46;;MASSIRA 1 IM 124 MAG N°4 TEMARA;R1;SARL;09/07/2003;10000;RABAT;1;R;;6527066;;;1;
4291;AXCOM;;037 80 47 58;;802 RUE OUED EL FAHS AV IBN HAITEM HAY INBIAAT SAL;R2;SARL;08/06/1999;100000;SALE;1;R;;6138508;;;1;
4617;BAT - WAT;037 73 24 52;037 26 06 17;;RUE AIT BRAHIM N° 30 TABRIQUET SALE;R2;SNC;06/03/2000;;SALE;1;R;;6298469;;;1;
45524;ETANCHEITE DE L ETOILE -ES- SAHT ALLAL;;037 60 16 46;;MASSIRA IMM 119 APP N° 5 TEMARA;R3;EI;28/08/1991;;;1;R;;2134344;;;;
46275;U G F EQUIPEMENT;037 68 03 61;037 77 64 88;;43 BOULEVARD MED ZERKTOUNI N°2 AKKARI RT;R1;SARL;27/03/1996;500000;RABAT;1;R;;2442151;;;1;
57463;GENIE CIVIL VISION;037 77 13 28;037 77 13 27;G C V;21 AVENUE TADLA APP 11 AVIATION RABAT;R1;SARL;;;;1;R;;6618774;;;;
6231;DE PARBATI;;037 83 28 83;;AV MOULAY ABDELHAFID N° 4 BIS HAY EL FARAH SALE;R2;SARL;25/03/2003;100000;SALE;1;R;;6444921;;;1;
361;AZDOU;037 88 38 74;037 88 38 74;;15 HAY AL AMAL ROUTE DE KENITRA SALE;R2;SARL;;100000;SALE;1;R;;2044238;;;1;
55205;BASSOU DE TRAVAUX FORESTIERES ET DIVERS;037 74 84 86;037 77 03 66;;LOT GHISLANE N° 97 AIN AOUDA TEMARA;R3;SARL;13/05/2002;100000;;1;R;;6389903;;1;2;
43685;SI EL MOKHTAR DE TRAVAUX;;061 39 59 31;;CITE NADIA 2 N° 6 AIN AOUDA TEMARA;R3;SARL;08/06/1994;100000;;1;R;;6154299;;;1;
43863;RIMS;037 63 91 04;037 75 13 89;;68 QUARTIER INDUSTRIEL TAKADOUM RABAT;R1;SARL;20/07/1994;600000;RABAT;1;R;;2335281;;5;1;
30481;SOTRIBEL;039 91 94 72;039 91 87 41;;IM 5 MAG  EL MASSIRA 5 CYM;R1;SA;01/02/1991;;RABAT;1;O;;2129965;1;1;1;
50469;FAMOFIL;;037 71 56 83;;SECT 19 BLOC B10 AVENUE ESSANOUBER HAY RIAD RT;R1;;28/04/1999;;;1;R;;2467026;1;1;1;
29699;MAISON MODEL;037 79 39 24;061 29 32 02;;RUE MELOUIYA N° 64 APP 20 AGDAL RABAT;R1;SARL;02/03/1990;700000;RABAT;1;R;;123379;;1;2;
6611;ACHOAB DE CONSTRUCTION;;061 35 17 07;;SECT 1059 HAY RAHMA SALE;R2;SARL;11/02/2004;;SALE;1;R;;6515954;;;1;
46243;NAJDA DES TRAVAUX;;061 29 63 42;;AVENUE GOUDAFA HAY ABI REGREG N° 255 RABAT;R1;SARL;;;;1;R;;2696485;;;;
6403;BTIOUA BATIMENT;;061 89 59 09;;39 HAY MOULAY ISMAIL SALE;R2;SNC;24/07/2003;30000;;1;R;;6526472;;;1;
50181;EL KOURDI;;037 29 10 89;;GROUPE 38 N° 120 BOUITATE CYM RABAT;R1;SARL;15/02/1999;;RABAT;1;O;;6078366;;1;1;
47799;EL OMARI FRERES;037 68 16 87;037 68 29 77;;16 RUE OUED FES APP 8 AGDAL RABAT;R1;SARL;24/01/2004;500000;RABAT;1;O;;2730316;;;1;ELOMARI80@YAHOO.FR
58081;SOCIETE DES QUATRES POLES DES ENTREPRISE;037 70 19 28;037 70 19 28;SQUAPE;1 RUE DIMACHK N° 6 RABAT;R1;SARL;27/01/2004;100000;RABAT;1;R;;6667838;;;1;
57945;SOPCONAN;037 79 80 10;037 79 80 10;;AVENUE AL KIFAH RESIDENCE ASSABAH IMM 1 N° 14 RABA;R1;SARL;25/12/2003;100000;RABAT;1;R;;6667599;;;;
3685;OTMANI  TRAVAUX PUBLICS ET DIVERS;037 87 21 50;037 87 21 50;O T P D;58 RUE MY DRISS HAY OUED EDDAHAB LAYAYDA SALE;R2;SARL;19/05/1997;100000;SALE;1;R;;6139275;;;1;
51175;LABIAD TRAVAUX;037 70 50 66/46;037 75 67 46;;343 GROUPE EL AHD HAY NEHDA RABAT;R1;SARL;08/11/1999;100000;RABAT;1;O;;6082870;;;1;
42235;SOTRABAV;037 29 00 68;037 79 44 96;;1 IMM ITZEER LOT N° 6 RESIDENCE ASSABAH;R1;SARL;25/05/1993;100000;RABAT;1;R;;239763;;;1;
58137;RIMINES;;037 72 05 92;;15 AVENUE MED ZERKTOUNI N° 11 RABAT;R1;SARL;11/02/2004;10000;;1;R;;6694485;;;1;
28381;COMARAM;037 28 17 42;037 29 04 69;;25 BIS AV FADILA  QUARTIER INDUSTRIEL CYM RABAT;R1;SARL;31/03/1988;800000;RABAT;1;R;;1290139;1;1;2;
46535;THERMAL;037 70 63 83;037 70 06 96;;429 AVENUE HASSAN 2 N° 43 RABAT;R1;SARL;22/05/1996;100000;;1;R;;2600460;;2;1;
51729;JIBAL AL ALPI;037 77 52 02;037 77 52 02;;RUE OUED ZIZ IMM 4 APP 3 AGDAL RT;R1;;;100000;RABAT;1;O;;6085618;1;1;1;JIBALALPI@MENARA.MA
585;SOCIETE BENNIS DE TRAVAUX ET SERVICES;037 81 33 14;037 81 26 44;SOBETRA;SECT 8 IM 36 APP 1 HAY SALAM SALE;R2;SARL;09/04/1990;;;1;O;;2071603;2;1;;BENNISTRAVAUX@MENARA.MA
24722;AMRAOUI TARIK;;061 55 75 91;;SECT 8 HAY SALM N° 1142 SALE;R2;;19/02/2004;;SALE;1;R;;6515508;;;1;
24162;MENUISERIE AL WAFA;037 60 85 32;037 60 85 31;;29 Z I MASSIRA TEMARA;R3;SARL;28/02/1975;1600000;;1;R;;1461649;;2;1;
70960;AHMAMOUCH DE TRAVAUX;;061 77 95 38;AMTRA;HAY ABIREGREG RUE 56 N° 8 RABAT;R1;;09/02/2002;;RABAT;1;O;;6682951;;;1;
49061;ETABLISSEMENT GUIROUANE;;037 65 00 64;;N° 385 RUE OURIKA NAHDA 1 RABAT;R1;SARL;16/03/1998;600000;RABAT;1;R;;6077706;;2;2;
21961;MAROCAINE D INSTALLATION DE REPARATION E;;037 72 03 15;SMADIR;10 RUE MEHDIA HASSAN RABAT;R1;;10/05/1971;100000;RABAT;1;O;;1494666;;6;2;SMADIRE@MENARA.MA
50603;RABAT GRAVURE;037 70 97 32;037 70 34 58;;15 RUE BAGHDAD RABAT;R1;SARL;17/05/1999;500000;RABAT;1;O;;2023331;;;1;RGPUB@MENARA.MA
